@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute pressed_key {32,97,98,99,100,101,102,103,104,105,106,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,241}
@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric

@data
113,14,2,16,2,337,249,-1.92
113,15,2,16,2,338,250,-2.4
113,15,2,15,2,339,250,-2.43
113,15,2,16,3,339,250,-1.92
113,15,1,15,2,339,250,-1.45
113,15,2,15,2,339,251,-1.94
113,15,2,17,2,339,250,-1.94
113,15,2,16,2,339,251,-2.43
113,14,2,15,2,340,250,-1.94
113,15,2,15,2,340,250,-1.94
113,15,2,15,2,340,250,-1.94
113,15,3,16,2,340,250,-1.94
113,15,2,17,3,340,250,-2.43
113,16,2,15,2,340,250,-0.96
113,14,3,16,2,340,251,-1.94
113,15,3,16,2,340,251,-1.92
113,15,2,16,2,340,251,-1.44
113,14,2,15,2,341,250,-1.96
113,15,2,16,2,340,251,-1.96
113,15,2,14,2,342,252,-1.45
113,16,3,16,2,341,251,-0.96
113,16,2,15,2,342,252,-0.97
113,14,2,15,2,342,251,-1.45
113,15,2,14,2,343,252,-0.48
113,15,2,15,2,342,251,-0.97
113,15,2,17,2,342,252,-1.45
113,14,2,16,2,342,252,-1.44
113,16,2,15,2,342,252,-1.44
113,15,3,15,2,343,252,-1.44
113,14,2,16,2,343,252,-0.98
113,15,2,16,2,343,252,-0.97
113,15,2,16,2,342,252,-0.97
113,15,2,16,3,342,252,0
113,15,2,17,2,343,252,0.49
113,17,2,17,2,342,252,0.96
113,16,1,16,2,341,253,0
113,16,2,16,2,341,253,-1.45
113,15,2,17,2,342,252,-1.45
113,15,2,16,2,343,252,-0.48
113,16,2,16,2,341,253,-0.96
113,14,3,15,3,342,253,-0.98
113,13,2,17,2,341,253,-1.94
113,15,2,18,3,343,254,-0.97
113,15,3,17,2,343,254,-0.48
113,15,2,15,2,343,253,-0.49
113,15,2,18,3,342,252,-0.48
113,16,2,18,2,343,253,0.49
113,15,2,18,2,343,253,-0.96
113,14,2,16,2,343,255,0
113,15,3,16,3,344,254,-0.48
113,14,2,16,2,344,253,-0.48
113,16,2,16,2,344,254,-0.97
113,15,2,15,2,344,253,-0.96
113,14,2,16,2,344,254,0
32,13,2,15,2,336,253,-0.48
119,14,1,16,2,340,252,-0.96
119,15,2,15,3,343,253,0
119,15,2,17,2,343,253,-0.48
119,15,2,16,2,343,253,0
119,15,1,15,2,342,254,0.5
119,15,1,14,2,342,253,0.49
119,14,2,13,2,342,253,-0.49
119,14,2,16,3,342,253,0
119,15,2,16,2,341,254,0
119,15,2,15,2,342,254,-0.48
119,15,1,15,3,342,254,0.49
119,14,1,14,2,342,254,0.49
119,15,1,15,2,342,254,0.98
119,15,2,17,2,342,254,0
119,14,1,15,2,342,255,0
119,14,1,15,2,341,255,0
119,15,1,15,2,342,255,0
119,14,2,15,2,342,255,0
119,14,2,16,2,343,254,0.99
119,13,1,17,2,343,255,0.49
119,14,1,15,2,343,255,0
119,14,1,16,2,343,255,0.5
119,14,2,15,2,344,255,0.49
119,14,2,15,2,344,255,0
119,14,1,15,2,343,255,0.5
119,14,2,16,2,343,254,0.5
119,15,2,15,2,343,255,0
119,15,2,15,2,343,255,0.49
119,14,2,16,3,343,255,0.49
119,13,1,14,2,343,256,0.5
119,15,1,15,2,343,256,0.49
119,14,2,15,2,343,256,0
119,15,2,16,2,343,255,0
119,15,1,16,1,343,255,0
119,15,2,17,3,344,256,0.97
119,15,2,16,3,343,256,0
119,14,1,16,2,343,256,0.98
119,14,1,18,2,343,256,0.98
119,15,2,15,2,343,256,0.49
119,15,2,17,3,343,255,0.98
119,14,2,15,3,343,256,0
119,13,2,17,2,342,254,0.49
119,14,0,18,2,343,256,0.99
119,13,1,17,2,342,257,1.46
119,16,2,18,2,342,257,0.97
119,14,1,15,2,343,256,0.49
119,15,2,17,2,343,257,0.49
119,14,1,16,2,343,255,0.97
119,14,1,16,2,342,256,0.98
119,12,2,16,3,342,256,0.49
119,14,1,17,2,342,256,0.5
119,15,2,16,2,342,255,0
119,14,2,17,2,342,256,0
119,15,1,16,3,342,256,0.97
119,14,1,15,2,342,256,0.49
119,15,1,16,2,343,256,0.49
119,14,1,17,1,342,255,0.97
119,13,1,15,2,343,256,0.98
119,15,2,15,2,342,256,0
119,14,1,17,2,342,256,0.49
119,16,2,16,2,342,256,0.97
119,14,2,18,2,343,256,0.49
119,14,2,15,2,343,255,0.49
119,14,2,18,2,343,255,0.98
119,14,2,16,2,342,256,1.46
119,14,2,16,2,342,256,0.49
119,12,1,16,2,342,257,0.49
119,13,2,17,3,342,256,0
119,14,2,17,2,342,256,0.5
119,14,2,17,2,342,255,0.49
119,14,1,15,2,342,256,0.5
119,15,2,18,2,342,257,0.99
119,14,2,17,2,342,257,0.5
119,13,1,15,2,342,256,1.46
119,16,1,17,3,343,257,0.49
119,15,1,15,2,342,257,1.46
119,15,2,15,2,343,256,0.49
119,14,1,15,2,342,256,0.98
119,15,2,16,2,342,257,1.48
119,16,2,17,2,342,256,0.97
119,15,1,17,2,341,256,0.49
119,13,2,16,2,342,257,0.49
119,15,2,18,2,343,256,0.98
119,15,2,15,2,343,256,0.49
119,13,1,15,2,342,257,0.98
119,14,1,16,1,342,257,1.46
119,15,2,16,2,343,257,0.98
119,14,2,16,2,342,257,1.46
119,14,1,16,2,343,257,0.49
119,13,1,17,2,343,256,1.46
119,14,2,17,2,343,257,1.45
119,14,1,15,2,343,257,0.49
119,14,1,16,2,343,258,0.49
119,14,1,15,2,343,257,0.49
119,12,1,14,1,342,257,0.98
119,14,1,17,2,343,257,0.49
119,14,1,16,1,343,257,1.46
119,14,1,16,3,343,257,0
119,14,1,16,2,343,258,0.49
119,16,2,18,2,342,256,0.49
119,14,1,17,1,343,257,0.99
119,13,1,16,1,343,258,0.99
119,14,1,16,1,343,257,0.97
119,15,2,17,2,344,258,1.48
119,16,1,18,2,344,257,0.97
119,13,1,16,2,343,257,0.98
119,16,2,17,2,343,257,1.45
119,14,1,15,2,343,258,1.46
32,11,2,15,2,341,257,0.98
101,14,2,16,2,341,255,0.98
101,14,1,16,2,342,256,0.49
101,14,2,16,2,342,256,0.97
101,13,1,16,2,342,256,0.49
101,14,2,16,2,341,256,0
101,14,2,16,2,341,256,0
101,14,2,16,3,341,257,0.98
101,14,2,18,2,341,257,0.99
101,12,2,16,1,341,258,0.49
101,13,2,16,2,341,258,0
101,14,2,16,1,341,257,0.97
101,10,1,17,2,341,258,0.98
101,15,2,15,2,340,256,0.98
101,13,2,14,1,341,257,0.97
101,14,2,15,2,340,257,0
101,14,2,17,3,341,258,0.49
101,13,2,15,2,341,258,0
101,14,2,18,2,341,257,0.49
101,13,2,15,1,342,257,0.98
101,14,2,17,2,341,255,0.49
101,12,2,17,2,340,256,0.49
101,14,0,17,1,339,256,0
101,15,2,15,3,337,254,0.49
101,14,1,15,2,336,255,-0.48
101,15,1,16,1,337,255,-0.47
101,14,1,17,2,337,254,0
101,13,1,19,2,337,254,0
101,13,1,16,2,338,254,0
101,15,2,18,2,338,255,0
101,15,1,15,2,338,254,0
101,14,1,16,1,338,256,0
101,13,1,15,1,339,256,-0.48
101,15,1,15,1,339,256,0.48
101,14,2,17,2,339,256,0.49
101,15,1,15,2,338,255,0
101,13,1,16,2,339,255,0
101,13,1,15,1,339,257,0.49
101,13,1,15,2,339,256,0.49
101,14,2,16,2,339,257,0.49
101,13,1,15,2,339,257,0.49
101,14,2,16,2,339,257,0.49
101,15,2,17,2,338,257,0
101,13,1,17,2,338,257,-0.97
101,15,2,17,2,337,257,0
101,10,2,15,2,337,256,0.49
101,13,2,17,2,335,257,0
101,15,1,18,2,335,257,0.49
101,13,1,17,1,335,257,0
101,14,1,16,2,336,257,-0.96
101,13,2,15,2,337,257,0
101,13,2,15,2,336,257,-0.48
101,14,2,16,2,336,257,-0.48
101,14,2,15,2,337,257,0
101,13,2,16,2,336,257,0
101,14,1,17,2,336,257,-0.48
101,13,1,17,1,336,258,0.49
101,15,1,16,2,336,258,-0.48
101,14,2,15,1,336,257,-0.48
101,12,1,17,2,336,258,-0.97
101,14,1,13,1,336,257,-0.48
101,11,2,16,1,337,258,0
101,14,1,18,3,337,257,0
101,14,1,15,2,337,258,0
101,13,1,18,3,336,258,-0.48
101,13,1,17,2,337,258,-0.48
101,12,1,19,2,337,258,-0.49
101,13,1,15,2,337,258,-0.48
101,13,2,14,2,336,258,0
101,13,1,16,1,336,258,0.5
101,13,2,17,2,337,258,0
101,13,2,16,2,336,257,0
101,14,2,16,2,336,258,0
101,13,1,17,2,336,258,0
101,15,1,16,2,336,258,0.49
101,12,2,16,2,336,257,0.49
101,13,1,18,2,336,259,0
101,14,2,18,2,336,258,0
101,14,1,19,2,336,258,-0.48
101,13,1,15,2,336,258,0.49
101,13,2,19,2,336,258,0.49
101,14,1,16,2,336,258,0.49
101,14,2,18,2,336,258,-0.97
101,14,2,15,2,336,259,0.98
101,14,2,16,2,337,258,0
101,14,1,16,2,337,259,0
101,14,1,17,1,337,258,-0.97
101,13,1,19,2,336,258,0
101,10,2,17,2,336,258,0
101,13,2,16,2,337,258,0.49
101,13,1,15,2,336,258,0.49
101,14,2,17,1,336,258,0.49
101,16,2,17,2,336,258,0.49
101,14,2,17,2,336,258,0.49
101,14,1,15,2,336,259,0.49
101,10,1,15,1,336,259,0
101,15,2,15,2,336,258,0.49
101,13,1,17,2,336,258,0.5
101,15,2,16,2,336,259,-0.48
101,13,1,16,2,336,259,0.5
101,13,2,16,2,336,258,0.49
101,14,1,17,2,336,259,0
101,14,1,16,1,336,259,0.49
101,12,1,17,2,336,259,0
32,10,2,18,2,335,258,-0.48
114,12,2,15,2,329,257,0
114,14,1,15,2,330,256,0.49
114,13,1,15,2,328,255,-0.48
114,15,0,16,2,328,255,-0.48
114,12,1,18,2,328,256,-0.98
114,13,2,17,1,330,256,0.49
114,13,2,19,3,332,257,0.97
114,15,1,15,2,332,255,0.97
114,14,2,14,2,332,256,0.99
114,13,2,15,2,331,257,0
114,14,2,16,3,331,257,-0.97
114,14,1,18,2,330,258,0
114,13,2,15,2,329,257,-0.48
114,12,1,15,1,329,258,0
114,13,2,17,1,329,258,-0.48
114,13,1,14,1,328,259,-0.48
114,14,2,16,2,328,259,-0.48
114,14,1,17,1,328,257,-0.96
114,14,2,15,1,328,258,0
114,13,1,15,1,327,259,-0.48
114,11,2,16,2,327,259,-0.97
114,14,1,14,1,326,260,-0.96
114,14,2,15,2,326,259,-1.44
114,13,2,19,2,326,258,-0.95
114,12,2,17,2,326,260,-1.44
114,13,1,16,2,326,258,-0.95
114,15,1,17,2,326,259,-1.44
114,14,1,16,2,325,258,-1.92
114,13,2,18,2,326,258,-0.96
114,13,2,18,1,325,259,-1.44
114,14,1,16,2,325,258,-1.44
114,14,2,16,1,325,258,-0.95
114,14,1,18,1,325,258,-1.43
114,15,1,16,2,325,258,-0.95
114,12,2,17,2,325,258,-1.44
114,12,1,16,1,325,259,-0.48
114,14,1,15,1,325,259,-0.47
114,14,2,19,2,326,258,-1.43
114,14,2,17,2,325,259,-0.95
114,11,2,16,2,324,258,-0.47
114,11,2,15,1,324,259,-0.47
114,13,1,17,2,324,259,-0.48
114,12,1,17,2,325,259,-0.95
114,14,1,16,2,325,259,-0.96
114,14,1,16,2,325,258,-0.95
114,12,1,17,1,325,258,-0.95
114,14,2,16,2,325,259,-0.95
114,14,1,16,2,325,259,-0.48
114,14,1,17,2,326,259,-0.48
114,13,2,16,2,325,259,-1.43
114,14,1,15,2,325,259,-0.95
114,13,2,19,2,325,259,-0.95
114,12,2,18,3,325,259,-0.47
114,12,2,19,2,326,260,-0.96
114,13,2,16,2,325,259,-0.47
114,11,2,15,2,326,259,0
114,12,2,14,1,325,259,-0.96
114,12,1,17,2,326,260,-0.47
114,13,2,16,2,326,260,-0.48
114,13,2,18,2,326,260,-1.44
114,13,1,17,2,326,260,-0.95
114,14,2,15,2,326,260,-0.47
114,14,1,19,2,326,260,-0.95
114,12,2,18,2,326,259,-0.48
114,13,2,15,2,326,260,0
114,15,2,18,1,326,259,-0.94
114,10,2,17,1,325,259,-0.48
114,11,2,15,2,326,260,-0.47
114,14,1,15,1,326,261,-0.48
114,12,2,17,2,326,260,0
114,15,1,17,2,326,260,-0.47
114,15,2,16,2,326,259,-0.95
114,13,2,16,2,325,260,-0.95
114,14,2,17,2,326,260,-0.95
114,13,2,18,2,326,259,-0.95
114,15,1,17,2,326,260,-0.47
114,15,2,18,2,325,260,-0.47
114,13,2,16,2,325,260,0
114,13,1,16,2,326,260,-1.43
114,12,2,16,2,326,260,-0.48
114,13,2,15,2,325,260,0
114,10,1,16,2,326,260,-0.48
32,14,2,16,2,325,259,-0.95
116,12,1,17,2,324,260,0
116,10,2,15,1,325,260,0
116,14,2,16,2,325,259,0
116,13,2,15,2,325,260,0
116,13,1,16,2,324,259,-0.47
116,9,2,15,1,324,259,-0.96
116,11,2,17,2,324,260,-0.47
116,11,2,16,2,324,260,0.48
116,13,2,16,2,324,260,-0.47
116,14,2,15,2,325,260,-0.47
116,13,2,16,2,324,260,0.97
116,15,2,18,2,324,260,-0.48
116,14,1,17,2,325,260,0
116,15,2,18,2,325,259,0.95
116,13,1,18,2,324,260,0.49
116,13,1,16,1,325,260,0.48
116,13,1,19,2,325,260,-0.48
116,13,2,16,2,325,260,0.48
116,15,2,17,2,324,259,-0.47
116,13,1,18,2,324,258,-0.47
116,12,2,19,2,324,260,-0.95
116,14,1,17,2,325,260,0
116,11,2,17,2,324,259,0
116,13,1,16,2,324,261,0
116,15,1,16,2,325,260,0
116,14,1,17,2,324,260,0
116,12,2,15,2,324,261,0
116,12,1,16,3,324,260,0
116,14,2,17,2,323,259,0.95
116,12,2,17,1,322,259,0
116,13,1,15,2,322,260,0
116,12,2,17,2,317,260,-1.9
116,11,2,15,1,309,259,-1.92
116,13,3,16,2,298,260,-4.24
116,15,3,14,1,285,261,-6.52
116,15,2,14,1,279,262,-6.58
116,14,3,?,?,271,264,-8.36
116,15,3,?,?,262,264,-9.35
116,15,2,?,?,251,265,-9.64
116,13,2,?,?,241,267,-10.62
116,11,4,?,?,232,268,-11.86
116,9,5,16,1,223,270,-12.85
116,10,5,17,1,215,272,-14.04
116,10,5,19,1,205,274,-14.04
116,12,5,15,1,199,275,-16.03
116,10,5,17,2,193,277,-16.02
116,11,6,17,2,185,280,-17.42
116,12,6,16,3,183,282,-17.27
116,11,6,16,1,178,284,-17.83
116,11,5,17,1,177,282,-18.09
116,11,5,16,2,176,282,-18.09
116,11,6,17,2,175,282,-17.15
116,12,5,17,2,172,283,-18.65
116,11,5,17,2,169,285,-19.62
116,13,6,18,3,164,287,-21.6
116,13,5,17,3,160,290,-22.95
116,13,6,18,3,159,291,-23.15
116,11,6,18,2,164,289,-22.74
116,12,5,16,2,174,284,-20.02
116,10,3,19,3,330,264,0
116,13,1,20,4,396,271,10.89
116,15,1,20,4,407,274,12.96
116,16,1,20,4,415,276,15.33
116,16,2,20,6,423,280,17.55
116,15,2,20,6,444,284,22.8
116,16,3,20,6,452,287,23.35
116,15,2,22,7,460,289,24.1
116,17,4,21,7,460,291,24.63
116,16,3,21,7,470,296,25.53
116,17,4,19,8,463,291,24.45
116,17,2,20,7,447,288,21.9
116,13,2,19,5,399,279,11.9
116,13,2,19,4,373,274,6.64
116,10,3,21,2,331,269,-0.45
116,14,2,19,1,301,267,-4.13
116,12,2,19,1,288,268,-5
116,13,2,16,1,276,268,-5.95
116,15,3,16,1,262,270,-4.91
116,17,2,?,?,236,274,-6.57
116,14,2,17,1,220,277,-8.51
116,11,4,18,1,199,282,-12.31
116,12,5,18,1,180,289,-16.72
116,12,5,16,1,175,291,-18.24
116,11,5,17,2,170,292,-17.83
116,10,5,18,2,171,292,-19.21
116,10,5,17,2,178,291,-18.39
116,11,5,18,1,191,287,-16.59
116,9,5,20,1,205,284,-13.92
116,12,3,20,2,249,277,-5.85
116,12,4,18,2,285,273,-2.26
116,13,3,19,2,302,271,0.91
32,10,1,21,3,330,261,2.33
113,15,2,19,6,490,274,22.55
113,15,1,18,6,493,275,23.11
113,16,2,18,6,483,272,20.88
113,13,2,17,5,448,263,15.43
113,14,2,17,4,434,262,13.65
113,12,2,17,5,412,260,10
113,11,1,20,3,378,257,3.85
113,11,1,19,4,359,256,1.42
113,15,2,18,1,323,256,-3.67
113,13,2,19,0,305,256,-6.92
113,15,2,17,0,288,257,-8.28
113,17,2,?,?,270,260,-10.35
113,15,2,?,?,243,264,-14.94
113,16,3,?,?,234,267,-15.23
113,11,5,18,0,219,268,-16.72
113,12,6,19,2,214,270,-17.51
113,12,6,18,1,215,269,-16.19
113,12,5,20,1,236,265,-13.35
113,11,4,19,1,251,264,-11.37
113,12,4,19,2,283,261,-6.74
113,12,3,17,2,300,261,-4.51
113,10,2,19,2,337,259,-0.92
113,15,1,19,3,358,261,3.22
113,18,1,17,2,387,264,4.52
113,18,1,19,2,400,266,8.52
113,17,2,19,3,423,269,12.1
113,16,1,18,3,432,269,12.2
113,17,1,18,3,438,270,12.2
113,16,1,18,4,448,272,15.33
113,18,2,17,3,451,273,15.91
113,15,2,14,2,451,272,17.84
113,16,2,14,2,384,261,3.22
113,15,3,15,2,356,259,2.33
113,15,2,15,1,348,260,1.39
113,17,2,16,2,326,259,-2.24
113,15,1,17,0,319,259,-3.24
113,16,2,17,2,303,259,-5
113,17,3,16,1,293,258,-4.51
113,16,2,15,0,276,259,-3.13
113,17,2,16,1,268,259,-4.43
113,17,2,16,1,257,261,-6.63
113,13,3,16,0,252,263,-7.12
113,18,2,17,2,231,264,-7.5
113,16,3,17,0,227,265,-7.5
113,15,2,18,0,224,266,-8.3
32,12,2,20,2,313,259,-0.47
119,14,2,20,3,323,257,0.48
119,13,1,20,2,331,256,0.96
119,16,1,19,3,353,257,2.84
119,16,1,20,2,364,259,3.75
119,11,0,21,3,391,262,7.45
119,16,0,20,4,406,263,9.2
119,17,1,19,4,421,266,9.12
